Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather forecast: IMD issues red alert for coastal Karnataka, heavy rainfall and thunderstorm in Delhi, UP, Haryana - Mint",https://news.google.com/rss/articles/CBMi8wFBVV95cUxQMWVaQ1ZWcWVZOXQ0Q2I0OEJybms1dnlZekg0RFJEYnVWY0lNbTVMcThuQ00zRVRvYVZHWWpMcjFpU1dhZzRteXVZcllTenJsbmVVM3B4WmxlYVp3dWRPU3BoU3BOOXR2MGlXYnpXcWFSMGhJNHNQc0tUZ1FXcG9DUlBOdk1NWm51dW5ZaHR0enNiYWxfX1ZjSHdWeXY3U2RsaGFBZUFWWV9tdmloeDJBcnR5VnlkQXIwM0s1dFZ1U2tMWlpwT3d2OUZqWTdtTm1oSGdVelp6eW9xUlcxR1lBZmxWU0ZBQzZvcGpSMTVtQjBGSmPSAfgBQVVfeXFMT0JDaDVSVzhNX1ZHTnFxNk5mUWpZdV9acFl3aV85Umk4RDVZV3ZnU3FsUG85MENoWXNEaWFfQS1KZXI3X2dvTkVUSWlyNFoxTXczT2J1TmhWcHhMSnpObkFlMXNjYTYxakpianJhbUtFWmkwNHpyX2Q1TE0yX0RmR1dqZWdoaTJaRGs5QThJOTZuNlM4R0RiYVhZOWFxWjc5ZE1pSDJVSzZOMkhRS0hJbjJNOUxfSktWSDFjaG5pRlp0WTVKWW1OUTJXUVlyOU8waFQzdS1DdzhrM0xDNzBvZmNvVXlkaE81Rlprd21sZk0zU1hfcWhhZWE?oc=5,2026-06-09 08:43:11,Mint,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxQMWVaQ1ZWcWVZOXQ0Q2I0OEJybms1dnlZekg0RFJEYnVWY0lNbTVMcThuQ00zRVRvYVZHWWpMcjFpU1dhZzRteXVZcllTenJsbmVVM3B4WmxlYVp3dWRPU3BoU3BOOXR2MGlXYnpXcWFSMGhJNHNQc0tUZ1FXcG9DUlBOdk1NWm51dW5ZaHR0enNiYWxfX1ZjSHdWeXY3U2RsaGFBZUFWWV9tdmloeDJBcnR5VnlkQXIwM0s1dFZ1U2tMWlpwT3d2OUZqWTdtTm1oSGdVelp6eW9xUlcxR1lBZmxWU0ZBQzZvcGpSMTVtQjBGSmPSAfgBQVVfeXFMT0JDaDVSVzhNX1ZHTnFxNk5mUWpZdV9acFl3aV85Umk4RDVZV3ZnU3FsUG85MENoWXNEaWFfQS1KZXI3X2dvTkVUSWlyNFoxTXczT2J1TmhWcHhMSnpObkFlMXNjYTYxakpianJhbUtFWmkwNHpyX2Q1TE0yX0RmR1dqZWdoaTJaRGs5QThJOTZuNlM4R0RiYVhZOWFxWjc5ZE1pSDJVSzZOMkhRS0hJbjJNOUxfSktWSDFjaG5pRlp0WTVKWW1OUTJXUVlyOU8waFQzdS1DdzhrM0xDNzBvZmNvVXlkaE81Rlprd21sZk0zU1hfcWhhZWE?oc=5"" target=""_blank"">Weather forecast: IMD issues red alert for coastal Karnataka, heavy rainfall and thunderstorm in Delhi, UP, Haryana</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Monsoon,en
IMD issues red alert for coastal Karnataka; heatwave in north - NewsBytes,https://news.google.com/rss/articles/CBMisgFBVV95cUxNTHU0VUhDV0h3MXlXbnpha3ZaNXNEc1V5VTF6ZktXbUhDUUhYWUsyckc3SHN0RTA5NXVJMXlxS29Ldmp2bE11WFk0N21WS3pBMlpOY2hEUzd0LWtGSXV5bXk3STdWMlFRbW1RbjVYZ0RMUk03TWZGYy1ySXMtR0k4MGxESXM4cG5qUXVCNVdMN2xueTJvaWpIZTlLR1FCeC1MWGpwRThXSENISzlYLW9WVER3?oc=5,2026-06-09 10:23:29,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxNTHU0VUhDV0h3MXlXbnpha3ZaNXNEc1V5VTF6ZktXbUhDUUhYWUsyckc3SHN0RTA5NXVJMXlxS29Ldmp2bE11WFk0N21WS3pBMlpOY2hEUzd0LWtGSXV5bXk3STdWMlFRbW1RbjVYZ0RMUk03TWZGYy1ySXMtR0k4MGxESXM4cG5qUXVCNVdMN2xueTJvaWpIZTlLR1FCeC1MWGpwRThXSENISzlYLW9WVER3?oc=5"" target=""_blank"">IMD issues red alert for coastal Karnataka; heatwave in north</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Monsoon,en
"Weather today, June 9: 90 km wind, heavy rain, and...; over 15 states on alert, Delhi, Noida, Gurugram, West Bengal, Kerala, UP, Rajasthan, Punjab, Haryana, Bihar to…; check IMD forecast - news24online.com",https://news.google.com/rss/articles/CBMitgJBVV95cUxPQVZPM1BRX1dzSUF6Z3B0ZlI1UndUZEZhbTRVMy1Da05PSFhQRUxEaDlvaFdQNGpoY2ZPeHdwT282N3JxZ0JnWHc5bk8xNEVvenV1NVRMTmNfZXMzN0V5T2pDZ281Mm4tRldHRktqWXMydk5jZDUwbEdJSnQ1VXdUS3VvSnJwVEJZQm5Pd2QxajF0YjRNSUltbGVOTjdRR2NVR1dqRkpMaTVRXzR0ZzdXX0dVTlAzVy1LcS1QSU85QUxIV3RlYXNyMTA3cjFBYTRSbG56UXBxLVlqZ1Y5YWptS1R4MG9la1F6VkRTQURDRjF4UWttTWtlT2M4ZHVkUGowdjRRbFpUTGVKS2Y3ZHRjaGoyVFVFOGEzNFBXZHRHZTItR2hMZzdYbEtsaDcwNG83QW4tMEJn?oc=5,2026-06-09 07:06:10,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMitgJBVV95cUxPQVZPM1BRX1dzSUF6Z3B0ZlI1UndUZEZhbTRVMy1Da05PSFhQRUxEaDlvaFdQNGpoY2ZPeHdwT282N3JxZ0JnWHc5bk8xNEVvenV1NVRMTmNfZXMzN0V5T2pDZ281Mm4tRldHRktqWXMydk5jZDUwbEdJSnQ1VXdUS3VvSnJwVEJZQm5Pd2QxajF0YjRNSUltbGVOTjdRR2NVR1dqRkpMaTVRXzR0ZzdXX0dVTlAzVy1LcS1QSU85QUxIV3RlYXNyMTA3cjFBYTRSbG56UXBxLVlqZ1Y5YWptS1R4MG9la1F6VkRTQURDRjF4UWttTWtlT2M4ZHVkUGowdjRRbFpUTGVKS2Y3ZHRjaGoyVFVFOGEzNFBXZHRHZTItR2hMZzdYbEtsaDcwNG83QW4tMEJn?oc=5"" target=""_blank"">Weather today, June 9: 90 km wind, heavy rain, and...; over 15 states on alert, Delhi, Noida, Gurugram, West Bengal, Kerala, UP, Rajasthan, Punjab, Haryana, Bihar to…; check IMD forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Monsoon,en
"Weather news: Monsoon picks up pace across India but scorching heat continues in North India due to...; Delhi, Noida, Gurugram, Rajasthan, UP, Punjab to...; check full IMD forecast - news24online.com",https://news.google.com/rss/articles/CBMitgJBVV95cUxORDAxek5ZbmUwTEtjM2ZsRUE3ZnJwLVU0X0lYejUxd1J1dThvMXJaX2JFbnR0aTRzdmdIV3M3SnZEVVVaekkwQkRyaGVHcWZhUEJld2phdzJ1Ympsck01WjVXSzFSbkczUDM5NjVZVlBQcmtrc3BHM2lxY3ZZOUZ4dm40NTBvc3FwNzhDVkpZSm1aS01ncjRwZ3NZakR2cnZMNko2ajBNbEV0YVNSaDQ3MTRoTVNvZUt1ck9iNXFMZGFOYmhVTmNBSERWOHh0ZktFU0NETGxVS1lJdlBqSklqQzZrUDNWaGZRbUZlZW13bkc3T0tNZlRaRHFTNDl4RUo0dXJuSmRkZWFwR182ODFHbzAyMUtKNExYNTRQVjlHS2tydFRwOFg3d2lqakMzUV9EUVVaUFd3?oc=5,2026-06-09 10:19:12,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMitgJBVV95cUxORDAxek5ZbmUwTEtjM2ZsRUE3ZnJwLVU0X0lYejUxd1J1dThvMXJaX2JFbnR0aTRzdmdIV3M3SnZEVVVaekkwQkRyaGVHcWZhUEJld2phdzJ1Ympsck01WjVXSzFSbkczUDM5NjVZVlBQcmtrc3BHM2lxY3ZZOUZ4dm40NTBvc3FwNzhDVkpZSm1aS01ncjRwZ3NZakR2cnZMNko2ajBNbEV0YVNSaDQ3MTRoTVNvZUt1ck9iNXFMZGFOYmhVTmNBSERWOHh0ZktFU0NETGxVS1lJdlBqSklqQzZrUDNWaGZRbUZlZW13bkc3T0tNZlRaRHFTNDl4RUo0dXJuSmRkZWFwR182ODFHbzAyMUtKNExYNTRQVjlHS2tydFRwOFg3d2lqakMzUV9EUVVaUFd3?oc=5"" target=""_blank"">Weather news: Monsoon picks up pace across India but scorching heat continues in North India due to...; Delhi, Noida, Gurugram, Rajasthan, UP, Punjab to...; check full IMD forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Monsoon,en
